Store,Date,Amount,Currency
8646,1/20/2024,0,PEN
8647,1/14/2024,0,PEN
8647,1/15/2024,0,PEN
8647,1/16/2024,0,PEN
8647,1/17/2024,0,PEN
8647,1/18/2024,0,PEN
8647,1/19/2024,0,PEN
8647,1/20/2024,0,PEN
8649,1/14/2024,0,PEN
8649,1/15/2024,0,PEN
8649,1/16/2024,0,PEN
8649,1/17/2024,0,PEN
8649,1/18/2024,0,PEN
8649,1/19/2024,0,PEN
8649,1/20/2024,0,PEN
8651,1/14/2024,0,PEN
8651,1/15/2024,0,PEN
8651,1/16/2024,0,PEN
8651,1/17/2024,0,PEN
8651,1/18/2024,0,PEN
8651,1/19/2024,0,PEN
8651,1/20/2024,0,PEN
8683,1/14/2024,0,PEN
8683,1/15/2024,0,PEN
8683,1/16/2024,0,PEN
8683,1/17/2024,0,PEN
8683,1/18/2024,0,PEN
8683,1/19/2024,0,PEN
8683,1/20/2024,0,PEN
8684,1/14/2024,0,PEN
8684,1/15/2024,0,PEN
8684,1/16/2024,0,PEN
8684,1/17/2024,0,PEN
8684,1/18/2024,0,PEN
8684,1/19/2024,0,PEN
8684,1/20/2024,0,PEN
8700,1/14/2024,0,PEN
8700,1/15/2024,0,PEN
8700,1/16/2024,0,PEN
8700,1/17/2024,0,PEN
8700,1/18/2024,0,PEN
8700,1/19/2024,0,PEN
8700,1/20/2024,0,PEN
